 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Matheo;254;240;261;160;119;101;59;44;21;15;
Matheus;18;12;8;18;12;10;14;10;12;9;
Mathias;342;343;372;410;454;435;454;455;490;446;
Mathis;4;:;5;6;11;5;:;7;:;:;
Matias;40;44;44;44;40;52;44;44;48;41;
Mats;94;71;90;111;110;128;151;126;137;172;
Matteo;22;20;18;23;28;11;17;4;12;9;
Matteus;14;13;11;12;13;9;7;9;9;:;
Matthew;7;7;5;:;11;4;5;7;:;10;
Mattias;8;11;8;19;16;11;13;10;11;14;
Mattis;30;30;34;32;42;27;31;24;24;20;
Max;120;110;141;142;140;126;92;59;65;61;
Maxim;12;7;10;9;10;7;4;:;7;4;
Maximilian;41;30;40;31;26;24;23;12;19;20;
Maximillian;10;8;11;22;14;23;12;11;:;5;
Melvin;26;16;10;14;22;15;12;9;11;9;
Michael;54;56;54;52;66;49;55;72;61;67;
Michal;10;8;8;13;17;16;11;15;15;16;
Mika;10;9;9;22;14;7;13;16;7;10;
Mikael;39;69;94;67;78;82;89;80;69;85;
Mikail;9;14;13;10;9;:;5;5;14;6;
Mikal;8;14;21;16;17;20;17;24;20;19;
Mikkel;174;160;176;194;153;190;150;136;143;101;
Mikolaj;6;6;11;14;13;9;11;17;10;10;
Milan;22;20;9;16;14;6;14;8;5;8;
Milian;54;38;49;51;20;21;17;:;:;:;
Millian;10;10;8;6;4;:;:;:;:;:;
Milo;13;17;13;11;5;7;11;5;4;:;
Mio;69;55;47;25;28;18;9;9;4;4;
Mohamed;44;40;48;56;56;54;57;60;41;46;
Mohammad;68;79;73;84;70;70;59;54;51;70;
Mohammed;53;52;61;63;60;52;70;57;47;59;
Mons;5;8;13;8;13;11;13;10;10;12;
Morgan;4;7;10;8;16;10;11;14;24;11;
Morten;30;25;20;41;27;35;54;56;54;68;
Muhammad;70;71;63;81;49;42;49;45;35;30;
Muhammed;15;21;16;11;21;14;16;13;8;14;
Musab;4;5;11;:;:;:;6;:;5;:;
Mustafa;21;11;16;23;14;20;12;20;12;17;
Natan;13;14;6;12;9;10;8;8;6;:;
Nataniel;11;13;16;11;11;8;12;7;8;13;
Nathan;15;17;17;16;20;12;11;4;10;9;
