 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Ina;19;33;35;24;40;42;44;46;64;49;
Inaya;9;13;12;6;5;5;:;:;:;4;
Ine;27;43;29;37;41;55;44;41;47;81;
Ines;11;22;14;12;9;19;13;7;6;5;
Inga;29;24;25;27;15;25;32;31;17;34;
Ingebjørg;:;6;6;11;10;4;14;11;11;14;
Ingeborg;82;96;97;99;104;123;129;142;140;170;
Ingelin;5;6;5;5;7;5;:;11;6;6;
Inger;18;12;20;21;26;26;23;21;37;33;
Ingrid;309;323;353;357;398;384;362;378;394;374;
Ingunn;5;:;4;:;4;:;8;5;5;10;
Ingvild;35;36;48;37;44;50;48;58;50;68;
Iqra;:;:;4;5;7;5;6;4;10;6;
Irene;5;5;4;11;7;12;10;6;13;7;
Iris;49;53;36;45;63;48;33;30;27;23;
Irmelin;11;6;10;10;7;6;4;5;:;:;
Isa;12;5;10;17;14;14;23;10;12;11;
Isabel;48;43;76;69;53;66;65;63;84;79;
Isabell;82;70;76;74;61;56;66;74;60;61;
Isabella;114;136;135;133;151;113;121;95;69;64;
Isabelle;35;45;41;40;32;41;42;41;28;41;
Iselin;29;27;48;47;70;85;81;90;100;84;
Isra;9;12;13;7;9;8;4;8;8;:;
Jana;8;5;10;9;8;4;6;6;8;9;
Janne;7;:;6;7;13;14;15;12;19;18;
Jasmin;13;19;15;12;20;16;15;20;16;29;
Jasmine;8;12;6;13;10;10;4;21;7;14;
Jennie;13;10;12;17;17;13;11;7;8;10;
Jennifer;9;8;5;10;10;12;6;7;8;13;
Jenny;237;203;185;214;215;203;175;146;187;187;
Jessica;17;21;35;33;45;27;44;45;38;22;
Joanna;11;5;11;6;7;:;6;:;:;:;
Johanna;77;87;76;75;85;82;74;74;70;73;
Johanne;104;104;111;97;117;125;113;127;124;145;
Josefine;87;113;109;95;96;94;87;86;85;79;
Josephine;12;18;18;13;7;12;12;11;11;11;
Julia;137;174;181;173;160;172;167;171;141;151;
Juliane;5;10;6;:;10;11;11;18;16;22;
Julianne;:;13;10;10;11;14;16;18;13;17;
Julie;297;303;291;342;346;377;358;424;453;430;
June;17;23;24;27;36;29;32;45;28;41;
Juni;5;6;:;4;15;11;11;8;11;16;
Kaia;20;31;18;32;31;38;59;43;45;47;
Kaisa;12;11;12;18;23;17;25;29;24;27;
