Navn Kjønn
Ilona Kv
Ilona Kv
Ilse Kv
Imke Kv
Imke M
Immacolata Kv
Immanuel M
Imogen Kv
Ímundur M
Ina Kv
India Kv
Ines Kv
Inés Kv
Inês Kv
Inez Kv
Inga Kv
Ingálvur M
Inge Kv
Ingi M
Ingibjartur M
Ingibjørg Kv
Ingibjörg Kv
Ingibjørn M
Ingibjørt Kv
Ingigerð Kv
Ingileivur M
Ingileyg Kv
Ingilín Kv
Ingimar M
Ingimundur M
Ingirið Kv
Ingivaldur M
Ingjaldur M
Ingmar M
Ingólfur M
Ingolvur M
Ingrið Kv
Ingunn Kv
Ingvaldur M
Ingvar M
Ingvi M
Ingvør Kv
Inkeri Kv
Inmaculada Kv
Inna Kv
Innes M
Innocènzo M
Iolanda Kv
Iole Kv
Iona Kv
Irena Kv
Iria Kv
Iris Kv
Írís Kv
Irma Kv
Isa Kv
Isabel Kv
Isabela Kv
Isabell Kv
Isabella Kv
Ísabella Kv
Isabelle Kv
Ísak M
Ísakur M
Isaline Kv
Isalyne Kv
Ísar M
Isidor M
Isidro M
Isla Kv
Ísleivur M
Ísmal M
